20240717	20:31:27	c7817ad6-e6d9-4065-93f7-3897ab9dafe3	/	GET
20240717	20:31:27	fe6d9c62-4543-4083-bf38-cc6507d98e25	/css/style.css	GET
20240717	20:31:27	b099763c-5b4b-43e9-807d-b5cfc52b18ef	/favicon.ico	GET
20240719	22:59:53	36934919-cbd1-4864-8898-82fd74695980	GET	undefined	/
20240719	22:59:53	3e56b0a4-d603-40da-a447-a4c41fbd1637	GET	undefined	/css/style.css
20240719	23:14:24	70adb7fd-f5bb-40fe-b07d-d5fec624f3ed	GET	undefined	/
20240719	23:14:25	eefeac9b-df89-4f7c-9874-0850767a7e1d	GET	undefined	/css/style.css
20240719	23:14:37	d874bc44-84d1-42fb-9635-9c078372eb04	GET	undefined	/
20240719	23:14:37	2e2f14db-be67-4459-b622-c1563ed0ea90	GET	undefined	/css/style.css
20240719	23:21:39	8ce85316-27af-4f49-91f2-ce2cd9795b6b	GET	null	/
20240719	23:21:50	6a25956b-e70e-4a2a-8686-0fbe39c22b9c	GET	undefined	/
20240719	23:21:50	9cbc45cc-2245-483e-8933-a9aa57157440	GET	undefined	/css/style.css
20240719	23:22:22	990c6689-77a3-46fd-ab50-b9f7ab5d96c8	GET	undefined	/
20240719	23:22:22	3cc36971-71d5-4436-b8e6-3752fbf9b77f	GET	undefined	/css/style.css
20240719	23:32:27	84942a18-dd07-4c81-875b-c3d26f0e3485	OPTIONS	https://www.google.com.mx	/
20240719	23:32:27	990f6b3e-1889-4b27-9251-64f864a63ca7	GET	https://www.google.com.mx	/
20240719	23:33:15	58ffdfa9-4901-4e15-831b-c134ea09cad0	OPTIONS	https://www.google.com.mx	/
20240719	23:33:15	2e049bd5-8b8a-4ef1-904d-0769808bb3f1	GET	https://www.google.com.mx	/
20240719	23:33:26	cd47826e-9ed2-4724-9c9f-f19243d94e78	OPTIONS	https://www.google.com.mx	/
20240719	23:33:26	f7100ca8-aa97-47ee-aeb5-0cc3909261fe	GET	https://www.google.com.mx	/
20240719	23:33:35	da913458-c9d8-43c8-9d59-1939a05d9b90	OPTIONS	https://www.google.com.mx	/
20240719	23:33:35	6a830c70-b313-4862-9d0b-cb07a3f7071a	GET	https://www.google.com.mx	/
20240719	23:41:44	0a527de0-5fd7-44e5-9960-ca9569d125da	GET	undefined	/
20240719	23:42:05	bfed36f5-6527-4668-8c7f-1afbf4d5a94b	GET	undefined	/
20240719	23:42:13	60a31de2-f97c-498d-a2aa-daa786329d90	GET	undefined	/
20240719	23:42:31	3ebee5f0-6cb1-41d1-b504-533805071d22	GET	undefined	/
20240719	23:42:36	54dfba5a-38fb-4d2f-998f-28b647a71c9c	GET	undefined	/
20240719	23:44:02	7b639229-5503-40c1-91b4-11a148a78156	GET	undefined	/
20240719	23:44:03	3451f527-417c-4118-b237-d8c712ae773b	GET	undefined	/
20240719	23:44:14	9701436f-1032-4409-9731-5e20934a1492	GET	undefined	/
20240719	23:44:15	aa84ab24-b37a-490c-ab6e-f4ec6ce1574e	GET	undefined	/
20240719	23:45:08	636a03fd-f44e-47c8-b61c-c736199e15e3	GET	undefined	/
20240719	23:46:05	6a73054d-4fbf-4f33-9930-48530cacfb04	GET	undefined	/
20240719	23:46:05	01575d24-e74d-42e0-a7c9-1737f8d08983	GET	undefined	/css/style.css
20240719	23:56:43	c7f96646-0bd3-4e8b-bff0-7af2097006b4	GET	undefined	/
20240719	23:56:43	b051757f-b8cf-4d6c-b02a-acf1f5ee3313	GET	undefined	/css/style.css
20240719	23:57:34	7a7a0358-7145-4931-bdee-912ba9ad6804	GET	undefined	/
20240719	23:57:34	8c9a76bc-6cc6-4a0a-aa2d-9fa51b323d8c	GET	undefined	/css/style.css
20240719	23:57:35	76b981b0-25ea-4d08-92cf-4f9b393ecece	GET	undefined	/
20240719	23:57:35	ec424ad1-0305-41bc-b178-83088d7786e0	GET	undefined	/css/style.css
20240719	23:57:36	03c71d46-cc86-4851-8001-71754af5bcee	GET	undefined	/
20240719	23:57:36	9dfaae4a-45c3-4131-84f6-67e5c5f023b2	GET	undefined	/css/style.css
20240719	23:58:19	38c57026-d801-48a9-b75d-5786b60576a0	GET	undefined	/
20240719	23:59:08	6fc46554-c0ad-44f3-b15a-38f4011457dc	GET	undefined	/
20240719	23:59:08	d9331acf-1351-4957-9575-8ea1680eae45	GET	undefined	/css/style.css
20240720	00:03:42	ccdd749d-f511-4070-8f87-daab7541bcfd	GET	undefined	/R
20240720	00:03:42	65ec2ba1-fc4d-4375-9487-3fbf8b5fbc9c	GET	undefined	/css/style.css
20240720	12:11:59	83d77f66-9418-4697-b04a-8d4b65962d98	GET	undefined	/subdir
20240720	12:12:28	da1bb574-2fde-4414-8429-6cee0c9f8c1e	GET	undefined	/subdir/test
20240720	12:12:48	3e816ee5-a8b3-40fe-a24b-a3a5d3fd3e1d	GET	undefined	/subdir/fsdfdfs
20240720	12:12:48	cb71cbec-0bf5-4c2f-8823-85042ea29dea	GET	undefined	/css/style.css
